model_number,species,order,family,ds,log10mdd_family,log10mdd_order,log10mdd,log10mdd_best,,,,,,,,,,,,,,,,,,
2,Acanthus mollis,Lamiales,Acanthaceae,ballistic,NA,0.141668593,0.083176161,0.141668593,,,,,,,,,,,,,,,,,,
2,Acanthus mollis,Lamiales,Acanthaceae,animal,NA,1.744099278,1.511406701,1.744099278,,,,,,,,,,,,,,,,,,
2,Schinus terebinthifolia,Sapindales,Anacardiaceae,animal,NA,3.039372941,2.695438939,3.039372941,,,,,,,,,,,,,,,,,,
2,Schinus terebinthifolia,Sapindales,Anacardiaceae,ant,NA,1.945453622,1.982266471,1.945453622,,,,,,,,,,,,,,,,,,
2,Toxicodendron succedaneum,Sapindales,Anacardiaceae,animal,NA,2.989050572,2.794804292,2.989050572,,,,,,,,,,,,,,,,,,
2,Angelica pachycarpa,Apiales,Apiaceae,wind.special,0.366984292,0.640417282,0.749635637,0.366984292,,,,,,,,,,,,,,,,,,
2,Helosciadium nodiflorum,Apiales,Apiaceae,animal,1.857579194,2.131012184,2.214360837,1.857579194,,,,,,,,,,,,,,,,,,
2,Ilex aquifolium,Aquifoliales,Aquifoliaceae,animal,NA,NA,3.117893325,3.117893325,,,,,,,,,,,,,,,,,,
2,Alocasia brisbanensis,Alismatales,Araceae,animal,NA,2.274794727,2.168914027,2.274794727,,,,,,,,,,,,,,,,,,
2,Arum italicum,Alismatales,Araceae,animal,NA,1.850703961,1.557331386,1.850703961,,,,,,,,,,,,,,,,,,
2,Zantedeschia aethiopica,Alismatales,Araceae,animal,NA,2.080116328,1.889107132,2.080116328,,,,,,,,,,,,,,,,,,
2,Fatsia japonica,Apiales,Araliaceae,animal,NA,2.843212771,2.716666073,2.843212771,,,,,,,,,,,,,,,,,,
2,Archontophoenix cunninghamiana,Arecales,Arecaceae,animal,NA,NA,2.746486314,2.746486314,,,,,,,,,,,,,,,,,,
2,Phoenix canariensis,Arecales,Arecaceae,animal,NA,NA,2.457336942,2.457336942,,,,,,,,,,,,,,,,,,
2,Trachycarpus fortunei,Arecales,Arecaceae,animal,NA,NA,2.881686484,2.881686484,,,,,,,,,,,,,,,,,,
2,Agave americana,Asparagales,Asparagaceae,wind.none,NA,0.793939028,0.720382791,0.793939028,,,,,,,,,,,,,,,,,,
2,Ageratina adenophora,Asterales,Asteraceae,wind.special,NA,1.614080777,1.85937594,1.614080777,,,,,,,,,,,,,,,,,,
2,Ageratum houstonianum,Asterales,Asteraceae,wind.special,NA,1.357822144,1.487230225,1.357822144,,,,,,,,,,,,,,,,,,
2,Arctium minus,Asterales,Asteraceae,animal,NA,2.153342869,2.001687555,2.153342869,,,,,,,,,,,,,,,,,,
2,Arctium minus,Asterales,Asteraceae,wind.special,NA,0.979893878,0.980067377,0.979893878,,,,,,,,,,,,,,,,,,
2,Baccharis halimifolia,Asterales,Asteraceae,wind.special,NA,2.405657204,2.461610314,2.405657204,,,,,,,,,,,,,,,,,,
2,Bellis perennis,Asterales,Asteraceae,animal,NA,2.174044354,1.982553552,2.174044354,,,,,,,,,,,,,,,,,,
2,Bellis perennis,Asterales,Asteraceae,wind.none,NA,-0.273862584,-0.406900459,-0.273862584,,,,,,,,,,,,,,,,,,
2,Bidens frondosa,Asterales,Asteraceae,animal,NA,2.264008378,2.158556872,2.264008378,,,,,,,,,,,,,,,,,,
2,Cirsium arvense,Asterales,Asteraceae,wind.special,NA,1.097427223,1.132044399,1.097427223,,,,,,,,,,,,,,,,,,
2,Cirsium arvense,Asterales,Asteraceae,animal,NA,2.270876214,2.153664578,2.270876214,,,,,,,,,,,,,,,,,,
2,Cirsium arvense,Asterales,Asteraceae,ant,NA,1.176956895,1.44049211,1.176956895,,,,,,,,,,,,,,,,,,
2,Cirsium vulgare,Asterales,Asteraceae,wind.special,NA,1.092058211,1.133062608,1.092058211,,,,,,,,,,,,,,,,,,
2,Cirsium vulgare,Asterales,Asteraceae,animal,NA,2.265507202,2.154682786,2.265507202,,,,,,,,,,,,,,,,,,
2,Cirsium vulgare,Asterales,Asteraceae,ant,NA,1.171587882,1.441510318,1.171587882,,,,,,,,,,,,,,,,,,
2,Erigeron karvinskianus,Asterales,Asteraceae,wind.special,NA,1.258963365,1.33353316,1.258963365,,,,,,,,,,,,,,,,,,
2,Eupatorium cannabinum,Asterales,Asteraceae,wind.special,NA,1.35600651,1.496846265,1.35600651,,,,,,,,,,,,,,,,,,
2,Eupatorium cannabinum,Asterales,Asteraceae,animal,NA,2.529455501,2.518466444,2.529455501,,,,,,,,,,,,,,,,,,
2,Jacobaea vulgaris,Asterales,Asteraceae,wind.special,NA,1.315952851,1.433870284,1.315952851,,,,,,,,,,,,,,,,,,
2,Jacobaea vulgaris,Asterales,Asteraceae,wind.none,NA,0.041494904,0.066036452,0.041494904,,,,,,,,,,,,,,,,,,
2,Jacobaea vulgaris,Asterales,Asteraceae,animal,NA,2.489401842,2.455490463,2.489401842,,,,,,,,,,,,,,,,,,
2,Leucanthemum vulgare,Asterales,Asteraceae,animal,NA,2.387281907,2.312445141,2.387281907,,,,,,,,,,,,,,,,,,
2,Osteospermum moniliferum,Asterales,Asteraceae,animal,NA,2.879046366,2.514069443,2.879046366,,,,,,,,,,,,,,,,,,
2,Pilosella officinarum,Asterales,Asteraceae,wind.special,NA,0.884724805,0.794541061,0.884724805,,,,,,,,,,,,,,,,,,
2,Pilosella piloselloides,Asterales,Asteraceae,wind.special,NA,1.139988559,1.173671422,1.139988559,,,,,,,,,,,,,,,,,,
2,Senecio glastifolius,Asterales,Asteraceae,wind.special,NA,1.200101148,1.272094453,1.200101148,,,,,,,,,,,,,,,,,,
2,Silybum marianum,Asterales,Asteraceae,wind.special,NA,0.930925009,0.919191016,0.930925009,,,,,,,,,,,,,,,,,,
2,Silybum marianum,Asterales,Asteraceae,animal,NA,2.104374,1.940811195,2.104374,,,,,,,,,,,,,,,,,,
2,Silybum marianum,Asterales,Asteraceae,ant,NA,1.01045468,1.227638727,1.01045468,,,,,,,,,,,,,,,,,,
2,Tussilago farfara,Asterales,Asteraceae,wind.special,NA,1.032494834,1.018705339,1.032494834,,,,,,,,,,,,,,,,,,
2,Impatiens glandulifera,Ericales,Balsaminaceae,ballistic,0.474755728,0.453058472,0.69484871,0.474755728,,,,,,,,,,,,,,,,,,
2,Berberis darwinii,Ranunculales,Berberidaceae,animal,NA,3.273738014,2.876017932,3.273738014,,,,,,,,,,,,,,,,,,
2,Berberis glaucocarpa,Ranunculales,Berberidaceae,animal,NA,3.212353059,2.803800219,3.212353059,,,,,,,,,,,,,,,,,,
2,Alnus glutinosa,Fagales,Betulaceae,wind.special,2.423069906,2.172942348,2.410444736,2.423069906,,,,,,,,,,,,,,,,,,
2,Alnus glutinosa,Fagales,Betulaceae,animal,3.596518897,3.346391339,3.432064914,3.596518897,,,,,,,,,,,,,,,,,,
2,Betula pendula,Fagales,Betulaceae,wind.special,2.727069095,2.476941537,2.835617266,2.727069095,,,,,,,,,,,,,,,,,,
2,Betula pendula,Fagales,Betulaceae,animal,3.900518085,3.650390528,3.857237444,3.900518085,,,,,,,,,,,,,,,,,,
2,Echium vulgare,Boraginales,Boraginaceae,wind.none,NA,NA,-0.377979135,-0.377979135,,,,,,,,,,,,,,,,,,
2,Opuntia monacantha,Caryophyllales,Cactaceae,animal,NA,2.713545666,2.9261493,2.713545666,,,,,,,,,,,,,,,,,,
2,Opuntia monacantha,Caryophyllales,Cactaceae,ant,NA,1.619626347,2.212976832,1.619626347,,,,,,,,,,,,,,,,,,
2,Centranthus ruber,Dipsacales,Caprifoliaceae,wind.special,0.672067255,0.880837098,1.034985719,0.672067255,,,,,,,,,,,,,,,,,,
2,Leycesteria formosa,Dipsacales,Caprifoliaceae,animal,2.987471793,3.196241636,3.149699469,2.987471793,,,,,,,,,,,,,,,,,,
2,Sagina procumbens,Caryophyllales,Caryophyllaceae,animal,2.012912083,1.943060372,2.12062259,2.012912083,,,,,,,,,,,,,,,,,,
2,Sagina procumbens,Caryophyllales,Caryophyllaceae,wind.none,-0.434994854,-0.504846566,-0.268831421,-0.434994854,,,,,,,,,,,,,,,,,,
2,Casuarina glauca,Fagales,Casuarinaceae,wind.special,NA,2.224196045,2.480356186,2.224196045,,,,,,,,,,,,,,,,,,
2,Celastrus orbiculatus,Celastrales,Celastraceae,animal,NA,NA,3.271815251,3.271815251,,,,,,,,,,,,,,,,,,
2,Euonymus europaeus,Celastrales,Celastraceae,animal,NA,NA,2.774031566,2.774031566,,,,,,,,,,,,,,,,,,
2,Euonymus japonicus,Celastrales,Celastraceae,animal,NA,NA,2.852013679,2.852013679,,,,,,,,,,,,,,,,,,
2,Maytenus boaria,Celastrales,Celastraceae,animal,NA,NA,3.043789519,3.043789519,,,,,,,,,,,,,,,,,,
2,Cornus capitata,Cornales,Cornaceae,animal,NA,NA,2.916368801,2.916368801,,,,,,,,,,,,,,,,,,
2,Cotyledon orbiculata,Saxifragales,Crassulaceae,wind.none,NA,NA,0.764517929,0.764517929,,,,,,,,,,,,,,,,,,
2,Sedum acre,Saxifragales,Crassulaceae,animal,NA,NA,1.997915457,1.997915457,,,,,,,,,,,,,,,,,,
2,Sedum acre,Saxifragales,Crassulaceae,wind.none,NA,NA,-0.391538554,-0.391538554,,,,,,,,,,,,,,,,,,
2,Bryonia cretica,Cucurbitales,Cucurbitaceae,animal,NA,NA,2.84931778,2.84931778,,,,,,,,,,,,,,,,,,
2,Carex demissa,Poales,Cyperaceae,animal,2.16621277,2.311874882,1.926333811,2.16621277,,,,,,,,,,,,,,,,,,
2,Carex flacca,Poales,Cyperaceae,animal,2.230815953,2.376478065,2.024963613,2.230815953,,,,,,,,,,,,,,,,,,
2,Carex leporina,Poales,Cyperaceae,animal,2.299175941,2.444838052,2.121959439,2.299175941,,,,,,,,,,,,,,,,,,
2,Carex longebrachiata,Poales,Cyperaceae,wind.none,-0.175890792,-0.030228681,-0.296199591,-0.175890792,,,,,,,,,,,,,,,,,,
2,Carex longebrachiata,Poales,Cyperaceae,animal,2.272016145,2.417678256,2.093254421,2.272016145,,,,,,,,,,,,,,,,,,
2,Carex lurida,Poales,Cyperaceae,animal,2.310192173,2.455854284,2.145327571,2.310192173,,,,,,,,,,,,,,,,,,
2,Carex scoparia,Poales,Cyperaceae,animal,2.408270371,2.553932482,2.279108928,2.408270371,,,,,,,,,,,,,,,,,,
2,Cyperus eragrostis,Poales,Cyperaceae,animal,2.537993413,2.683655524,2.456054721,2.537993413,,,,,,,,,,,,,,,,,,
2,Schoenoplectus californicus,Poales,Cyperaceae,animal,2.579050219,2.724712331,2.536826829,2.579050219,,,,,,,,,,,,,,,,,,
2,Calluna vulgaris,Ericales,Ericaceae,wind.none,0.738424652,0.701349176,0.709026089,0.738424652,,,,,,,,,,,,,,,,,,
2,Calluna vulgaris,Ericales,Ericaceae,animal,3.186331589,3.149256113,3.0984801,3.186331589,,,,,,,,,,,,,,,,,,
2,Erica cinerea,Ericales,Ericaceae,wind.none,0.498353416,0.46127794,0.371053042,0.498353416,,,,,,,,,,,,,,,,,,
2,Erica cinerea,Ericales,Ericaceae,animal,2.946260353,2.909184877,2.760507054,2.946260353,,,,,,,,,,,,,,,,,,
2,Erica lusitanica,Ericales,Ericaceae,wind.none,1.078031728,1.040956252,1.200779893,1.078031728,,,,,,,,,,,,,,,,,,
2,Rhododendron ponticum,Ericales,Ericaceae,wind.none,1.061569702,1.024494226,1.200927137,1.061569702,,,,,,,,,,,,,,,,,,
2,Homalanthus populifolius,Malpighiales,Euphorbiaceae,animal,3.202793838,3.174412046,2.806477324,3.202793838,,,,,,,,,,,,,,,,,,
2,Homalanthus populifolius,Malpighiales,Euphorbiaceae,ant,2.108874518,2.080492727,2.093304856,2.108874518,,,,,,,,,,,,,,,,,,
2,Ricinus communis,Malpighiales,Euphorbiaceae,ballistic,1.301558882,1.27317709,0.966078787,1.301558882,,,,,,,,,,,,,,,,,,
2,Ricinus communis,Malpighiales,Euphorbiaceae,ant,1.810070247,1.781688456,1.681136859,1.810070247,,,,,,,,,,,,,,,,,,
2,Ricinus communis,Malpighiales,Euphorbiaceae,animal,2.903989567,2.875607775,2.394309327,2.903989567,,,,,,,,,,,,,,,,,,
