searchSpecies,lat_max,lat_min,lat_range,n,dd
Acacia baileyana,-35.436672,-46.638744,11.202072000000001,203,2.0289119373150317
Acacia dealbata,-35.2147841,-46.560007,11.345222899999996,413,3.3569829344936384
Acacia longifolia,-34.432319,-45.880857,11.448538,1305,3.1613293547796872
Acacia mearnsii,-34.902018,-46.287479,11.385461,261,3.1562963945594764
Acacia melanoxylon,-34.4369,-46.895804,12.458903999999997,468,3.350102744451376
Acacia paradoxa,-34.428131,-43.662611,9.234479999999998,93,1.858293548571173
Acacia verticillata,-34.7406649,-45.86307,11.122405100000002,160,2.119295908004441
Acanthus mollis,-35.098003,-46.401043,11.303040000000003,1087,1.7440992780040971
Acer negundo,-36.606064,-46.452565,9.846500999999996,255,2.23374967704083
Acer pseudoplatanus,-35.217281,-47.008479,11.791198000000001,2758,3.338711595942968
Actinidia chinensis,-35.210995,-44.190085,8.979090000000006,413,2.0331529965362223
Agapanthus praecox,-34.426724,-46.903403,12.476678999999997,1619,0.9418763887267108
Ageratina adenophora,-34.43637,-41.105858,6.669488000000001,544,1.6140807773851855
Ageratina riparia,-34.466045,-41.320489,6.854444000000001,444,1.141195963369575
Ageratum houstonianum,-35.177143,-43.641972,8.464829000000002,29,1.3578221443115783
Agrostis capillaris,-34.465467,-46.9374,12.471933,2823,3.2056949033565627
Ailanthus altissima,-36.644949,-45.857004,9.212055000000007,209,2.15990526385152
Allium triquetrum,-34.823809,-46.902905,12.079096,1251,0.831389295942344
Alnus glutinosa,-35.701598,-46.897879,11.196281000000006,395,3.5965188966869284
Alocasia brisbanensis,-35.206976,-43.63,8.423024000000005,290,2.2747947266611828
Amphilophium crucigerum,-35.117871,-40.386538,5.268667000000001,18,1.4841755706780388
Angelica pachycarpa,-35.116667,-46.899106,11.782439000000004,316,-0.9074736545897292
Araujia sericifera,-34.974508,-43.579178,8.604669999999999,1793,2.462286616316812
Archontophoenix cunninghamiana,-34.990815,-39.085827,4.095012000000004,283,2.746486313845154
Arctium minus,-36.916667,-46.659253,9.742586000000003,474,2.1533428690228704
Aristea ecklonii,-34.422437,-43.53434,9.111902999999998,913,-0.3595608785036061
Arum italicum,-35.12119,-46.406292,11.285102000000002,454,1.8507039605823072
Asparagus aethiopicus,-34.816667,-44.411748,9.595081,181,1.7097199428653125
Asparagus asparagoides,-34.827961,-46.256183,11.428221999999998,516,2.0066808907620213
Asparagus scandens,-34.723925,-45.861243,11.137318,2014,2.064385189947447
Baccharis halimifolia,-37.598611,-43.92532,6.326709000000001,72,3.5791061948878364
Banksia integrifolia,-34.737614,-45.867094,11.129480000000001,579,2.0596373369783834
Bartlettina sordida,-34.814962,-41.28437,6.469408000000001,105,2.0453511577629504
Bellis perennis,-34.433333,-46.901244,12.467911,1786,2.174044353547364
Berberis darwinii,-35.577783,-46.950562,11.372779000000001,1667,3.273738013944066
Berberis glaucocarpa,-35.107911,-46.428182,11.320270999999998,1556,3.2123530593027363
Betula pendula,-35.993016,-46.56127,10.568254000000003,416,3.9005180854314734
Bidens frondosa,-34.887042,-44.051964,9.164921999999997,450,2.2640083782739095
Bomarea multiflora,-35.116667,-46.901135,11.784467999999997,199,2.064385242315464
Bromus tectorum,-37.25,-46.405585,9.155585000000002,163,2.795704995123011
Bryonia cretica,-39.5985981,-39.687915,0.08931690000000003,5,2.8493177801722536
Buddleja davidii,-34.428014,-46.901889,12.473875,2081,2.2488102254593887
Calluna vulgaris,-34.876202,-46.896893,12.020691,849,3.186331589306525
Carex divulsa,-34.9897,-43.804833,8.815133000000003,335,2.1604810216033785
Carex flacca,-34.9897,-46.902455,11.912755000000004,144,2.2308159534571756
Carex leporina,-34.8735,-46.90777,12.03427,592,2.299175940687918
Carex longebrachiata,-34.733333,-41.2764,6.543067000000001,153,2.2720161449120404
Carex lurida,-37.2422,-43.5378,6.2956,59,2.3101921726867007
Carex scoparia,-35.873,-39.963777,4.090777000000003,25,2.408270370701452
Carpobrotus chilensis,-34.655444,-46.047722,11.392277999999997,292,1.77062652722388
Carpobrotus edulis,-34.682265,-46.628567,11.946301999999996,901,1.7681276518673767
Casuarina glauca,-35.941054,-41.2526,5.311546,16,2.224196045158053
Celastrus orbiculatus,-35.220278,-43.9407,8.720422,130,3.2718152514792473
Cenchrus alopecuroides,-35.716667,-41.464902,5.748235000000001,14,2.6717430623364735
Cenchrus setaceus,-35.09668,-43.569401,8.472721,82,2.89616505255358
Centranthus ruber,-35.05,-46.418589,11.368589,1222,0.6720672552091668
Cestrum nocturnum,-34.816667,-41.325542,6.508874999999996,229,2.883004718812507
Chamaecytisus prolifer,-35.116667,-46.902,11.785333000000001,184,2.974542575707918
Chrysojasminum humile,-36.85,-45.876573,9.026572999999999,50,3.2931385486281286
Cirsium arvense,-35.166277,-47.059722,11.893445,1749,2.270876214344299
Cirsium vulgare,-34.43501,-47.245,12.809989999999999,3468,2.2655072016260367
Clematis flammula,-35.333333,-43.6065826,8.2732496,53,1.5468749441368943
Clematis terniflora,-35.744225,-45.932617,10.188392,47,1.5598191594389577
Clematis vitalba,-35.25,-46.556899,11.306899000000001,17294,2.575714038651496
Cobaea scandens,-35.233333,-43.810261,8.576927999999995,253,1.3224960568563315
Cornus capitata,-35.687862,-46.360205,10.672342999999998,467,2.916368801388308
Cortaderia jubata,-34.428975,-46.900673,12.471697999999996,463,2.7300185700996713
Cortaderia selloana,-34.399436,-46.896962,12.497526,2754,2.768985913874501
Cotoneaster coriaceus,-34.991364,-46.902211,11.910847000000004,536,2.913971150408278
Cotoneaster franchetii,-34.422562,-46.898047,12.475484999999999,535,2.736871628908558
Cotoneaster glaucophyllus,-34.739356,-46.893962,12.154606000000001,2767,2.8820285533579817
Cotoneaster simonsii,-35.164288,-46.902,11.737712000000002,650,2.7972286475048356
Cotyledon orbiculata,-34.995166,-45.881925,10.886759000000005,547,0.7645179290621058
Crataegus monogyna,-35.203251,-46.900702,11.697451000000001,1941,2.784651417953617
Cupressus macrocarpa,-34.816123,-46.980396,12.164273000000001,957,2.414276168067465
Cuscuta campestris,-34.992722,-45.838927,10.846204999999998,16,1.8420194095058111
Cynodon dactylon,-34.4262,-46.384089,11.957889000000002,388,2.9427655217970594
Cyperus eragrostis,-34.45,-47.144722,12.694721999999999,1588,2.5379934130602817
Cytisus multiflorus,-36.816667,-46.323409,9.506741999999996,68,1.448193701179074
Cytisus scoparius,-34.519099,-47.247222,12.728123000000004,4180,2.9265881391508923
Dactylis glomerata,-34.438281,-46.926618,12.488336999999994,2515,2.9995161067367513
Datura stramonium,-35.026253,-46.603543,11.577290000000005,448,-0.4820266764713661
Digitalis purpurea,-35.027561,-46.905756,11.878194999999998,3408,2.7603897060020084
Dolichandra unguis-cati,-35.746389,-43.583033,7.836644,29,1.5170690554953807
Eccremocarpus scaber,-39.619127,-46.416749,6.797622000000004,102,1.6301020279801666
Echium vulgare,-36.159906,-46.45542,10.295513999999997,1761,-0.37797913462406113
Ehrharta erecta,-34.433333,-46.899283,12.46595,949,2.9227613454414945
Ehrharta villosa,-39.9315329,-40.496026,0.5644931,25,0.6585902752146369
Embothrium coccineum,-35.80844,-46.9,11.091560000000001,102,1.9760847795812784
Epilobium hirsutum,-41.269213,-43.785826,2.5166129999999995,144,3.486256844633556
