authority,species,synonym,common name,notes,form,growth.form,height,habitat,riparian,fruit.type,category,dispersal.adaptations,seed.mass,syndrome1,syndrome2,mechanism1,mechanism2,mechanism3,mechanism4,mechanism5,distance,dispersal.ref,NZ.dispersal.notes,overseas.dispersal.notes,DW.dispersal.notes,NZseeds,NZFloraOnline,NZPCN,Kew SID,n_mech,n_synd,n_nonstd_mech
Acacia baileyana F.Muell.,Acacia baileyana,NA,Cootamundra wattle,"shrub or tree to 10 m high (Flora of Australia https://profiles.ala.org.au/opus/foa/profile/Acacia%20baileyana, accessed 16/6/2023); aril",shrub-tree,shrub,10,NZPCN: Waste places and scrubland,NA,pod with arillate seeds,fleshy,arillate seed,0.02181,ant,NA,ant,wind.none,NA,NA,NA,NA,Morgan et al. 2002; O'Dowd & Gill 1986; NZPCN,Seed dispersed a short distance form parent plant by wind and gravity (NZPCN),Seeds dispersed by ants in Australia and South Africa (Morgan et al. 2002); Animal; Diaspore is carried intentionally; Direct or experimental observation; (O'Dowd & Gill 1986); Ants.; Iridomyrmex sp.; Diaspore=seed. The seed has an aril or aril-like structure.,NA,NA,2022-06-02T00:00:00Z,45092,2022-06-19T00:00:00Z,2,1,1
Acacia dealbata Link,Acacia dealbata,Racosperma dealbatum in Flora,silver wattle,"shrub to large tree; Bushy shrub or spreading tree to 30 m high (Flora of Australia https://profiles.ala.org.au/opus/foa/profile/Acacia%20dealbata, accessed 15/6/2023)",shrub-tree,tree,30,"NZ Flora Online: bank, clay, coast, dry, gravel, hill, margin, open, pasture, riparian, river terrace, riverbed, roadside, sand, sheltered, shrubland, silt, slope, stone, terrace, track, wasteland; NZPCN: A plant of riverbed habitats and waste places. Prefers relatively high fertility and light.",riparian,pod with arillate seeds,fleshy,fleshy aril,0.01268,ant,NA,ant,internal,wind.none,water,NA,NA,O'Dowd & Gill 1986; Cronk & Fuller 1995; Higgins et al. 2006,Acacia spp. have no structures directly aiding active seed dispersal and large seeds (>10 mg) (Esler 1988); ballistic dispersal (Timmins & Mackenzie 1995) - but no evidence for this in its morphology so not included.,"seeds in silvereye droppings, Australia (Higgins et al. 2006). Animal; Diaspore is carried intentionally; Direct or experimental observation; Ants.; Diaspore=seed. The seed has an aril or aril-like structure (O'Dowd & Gill 1986); dispersed by wind & water (Cronk & Fuller 1995)",NA,NA,2023-06-15T00:00:00Z,45092,2023-06-15T00:00:00Z,4,1,3
Acacia longifolia (Andrews) Willd.,Acacia longifolia,Acacia sophorae; Racosperma longifolium in Flora,Sydney golden wattle,"shrub or small tree; Shrub or erect tree, (0.5–) 1–10 m high (Flora of Australia https://profiles.ala.org.au/opus/foa/profile/Acacia%20longifolia, accessed 15/6/2023)",shrub-tree,shrub,10,"NZ Flora Online: coast, dry, gap, loam, lowland, sand, shrubland, slope; NZPCN: Shrubland, coastal areas, dry banks and river beds",riparian,pod with arillate seeds,fleshy,fleshy aril; elaiosome,0.01486,ant,NA,ant,internal,wind.none,NA,NA,NA,Rice & Westoby 1981; O'Dowd & Gill 1986; Pemberton & Irving 1990; Higgins et al. 2006; Marchante et al. 2010; Smart et al. 2023; NZPCN,has no structures directly aiding active seed dispersal and large seeds (>10 mg) (Esler 1988); Seeds dispersed locally by wind and gravity (NZPCN),"Seed has an elaiosome (Pemberton & Irving 1990). Seeds dispersed by ants (Smart et al. 2023). Acacia longifolia seedlings have been reported under nests of collared dove (Streptopelia decaocto) in Portugal (Marchante et al. 2010). Other Australian Acacia species with arrillate seeds are ant-dispersed (Berg 1975). A. sophorae (synonym, O'Dowd & Gill 1986): Animal; Diaspore is carried or eaten intentionally depending upon the species of disperser; Direct or experimental observation; Ants+birds.; Rhytidoponera metallica; Meliphaga chrysops; Meliphaga virescens; Diaspore=seed; The seed has an aril or aril-like structure. Fruits eaten by silvereyes in Australia (as A. sophorae, Higgins et al. 2006). myrmecochorous (Rice & Westoby 1981)",NA,NA,2023-06-15T00:00:00Z,45092,2023-06-15T00:00:00Z,3,1,2
Acacia mearnsii De Wild.,Acacia mearnsii,Racosperma mearnsii in Flora,black wattle,"shrub to large tree; Spreading shrub or mostly erect tree to 10 (–16) m high (Flora of Australia https://profiles.ala.org.au/opus/foa/profile/Acacia%20mearnsii, accessed 15/6/2023). Usu. Grows taller in NZ (K. McAlpine)",shrub-tree,tree,10,"NZ Flora Online: clay, dry, gully, hill, loam, open, pasture, river terrace, roadside, sand, shrubland, slope, stone, terrace, unstable/eroded, wasteland; NZPCN: Waste places, scrubland, pasture, riverbanks",riparian,pod with arillate seeds,fleshy,fleshy aril,0.01325,ant,NA,ant,wind.none,internal,water,NA,NA,O'Dowd & Gill 1986; NZPCN; Cronk & Fuller 1995,has no structures directly aiding active seed dispersal and large seeds (>10 mg) (Esler 1988). Seed dispersed locally by wind and gravity (NZPCN),Animal; Diaspore is carried intentionally; Direct or experimental observation; Ants.; Diaspore=seed. The seed has an aril or aril-like structure (O'Dowd & Gill 1986); dispersed by mammals & water (Cronk & Fuller 1995),NA,NA,2023-06-15T00:00:00Z,45092,2023-06-15T00:00:00Z,4,1,3
Acacia melanoxylon R.Br.,Acacia melanoxylon,Racosperma melanoxylon in Flora,Tasmanian blackwood,"aril pink to crimson or red, shrub or tree normally a relatively large tree; Tree 6–30 (–45) m high; sometimes a shrub 1.5–3 m high (Flora of Australia https://profiles.ala.org.au/opus/foa/profile/Acacia%20melanoxylon, accessed 15/6/2023)",shrub-tree,tree,30,"NZ Flora Online:  bank, clay, dry, lowland, margin, open, roadside, slope, track; NZPCN: Waste places, often coastal, especially near plantations",NA,pod with arillate seeds,fleshy,"pink to crimson or red, large fleshy aril, elaiosome",0.01358,internal,ant,internal,ant,water,NA,NA,NA,O'Dowd & Gill 1986; Pemberton & Irving 1990; Cronk & Fuller 1995; Higgins et al. 2006,Acacia spp. have no structures directly aiding active seed dispersal and large seeds (>10 mg) (Esler 1988).,Animal; Diaspore is eaten intentionally; Direct or experimental observation; Birds.; Meliphaga chrysops; Diaspore=seed. The seed has an aril or aril-like structure (O'Dowd & Gill 1986); dispersed by birds & water (Cronk & Fuller 1995); seed has an elaiosome (Pemberton & Irving 1990). Fruits eaten by silvereyes in Australia (Higgins et al. 2006).,NA,NA,2023-06-15T00:00:00Z,45092,2023-06-15T00:00:00Z,3,2,2
Acacia paradoxa DC.,Acacia paradoxa,Racosperma paradoxum in Flora,kangaroo acacia,Shrub or small tree up to 3 m high,NA,shrub,3,"NZ Flora Online: clay, dry, lowland, margin, open, roadside, sand, slope, stone, wasteland. NZPCN: Open sites usually of low fertility near the coast",NA,pod with arillate seeds,fleshy,fleshy aril,0.014,ant,NA,ant,wind.none,NA,NA,NA,NA,Berg 1975; NZPCN,Acacia spp. have no structures directly aiding active seed dispersal and large seeds (>10 mg) (Esler 1988). Spreads locally by wind and gravity (NZPCN).,"Animal; Diaspore is carried intentionally; Direct or experimental observation; Ants.; Aphaenogaster longiceps (Berg, 1975)",NA,NA,2023-06-15T00:00:00Z,45092,2023-06-15T00:00:00Z,2,1,1
Acacia verticillata (L'Her.) Willd.,Acacia verticillata,Racosperma verticillatum in Flora,prickly moses,"shrub to small tree. Shrub or erect tree to 10 m high (Flora of Australia https://profiles.ala.org.au/opus/foa/profile/Acacia%20verticillata, accessed 15/6/2023)",shrub-tree,shrub,10,"NZ Flora Online: bank, clay, coast, dry, forest edge, gully, hill, lowland, margin, moist, open, peat, roadside, sand, scrubland, sheltered, shrubland, stone, terrace, unstable/eroded",NA,pod with arillate seeds,fleshy,fleshy aril,0.00886,ant,NA,ant,NA,NA,NA,NA,NA,Armstrong 1998,Acacia spp. have no structures directly aiding active seed dispersal and large seeds (>10 mg) (Esler 1988).,"Has elaiosome and is dispersed by ants (The Unforgettable Acacias. Modified from: Armstrong W. P. 1998, Zoonooz 71 (8): p. 28 - 31  http://waynesword.palomar.edu/plaug99.htm. Accessed 7/1/2010)",NA,NA,2023-06-15T00:00:00Z,45092,2023-06-15T00:00:00Z,1,1,0
Acanthus mollis L.,Acanthus mollis,NA,bear's breeches,NA,NA,herb,1.2,"Usually found near old settlements, in partial shade and along riverbanks.",riparian,capsule,dry,explosive capsule,0.208,ballistic,NA,ballistic,water,internal,NA,NA,NA,Esler 1988; NZPCN,"Propulsion of seed is achieved by the sudden release of the stout funiculus (retinaculum), which is held under tension in the ripening capsule (Esler 1988). Has no structures directly aiding active dispersal and large seeds >10 mg (Elser 1988). Dispersed by gravity, water and birds (NZPCN website, accessed 13 April 2023).",NA,attachment or internal,NA,2022-06-02T00:00:00Z,45030,2023-04-13T00:00:00Z,3,1,2
Acer negundo L.,Acer negundo,NA,box elder,tree to c. 17 m high,NA,tree,17,NA,NA,samara,dry,winged seed,0.03598,wind,NA,wind,NA,NA,NA,NA,41.1,Matlack 1987,NA,41.1 m estimated lateral distance in a 10 km/hr breeze (Matlack 1987),NA,NA,2023-09-29T00:00:00Z,NA,2023-09-29T00:00:00Z,1,1,0
Acer pseudoplatanus L.,Acer pseudoplatanus,NA,sycamore,seed is dispersed by wind and can be dispersed up to 85m from parent plants,NA,tree,20,"NZPCN: Coastal and lowland plant on sites with high fertility. Grows in a wide range of open forest and scrub types with moderately high light levels. NZ Flora Online:  bank, clay, coast, dry, forest, gap, gully, hill, loam, lowland, margin, open, pasture, riparian, roadside, rock outcrop, sand, shaded, sheltered, shrubland, slope, stone, terrace, track, wasteland",riparian,samara,dry,winged seed,0.09509999999999999,wind,NA,wind,internal,attachment,NA,NA,85,Jones 1945; Webb et al. 1988; Matlack 1987; Cronk & Fuller 1995; Spurr et al. 2011; Albert et al. 2015,Wind dispersal by wings (Webb et al. 1988; Esler 1988). Bellbirds feed on seeds (Spurr et al. 2011),"Wind; Diaspore is blown by wind; Method not stated; (Matlack, 1987, cited in Kew SID 19/6/2022); Diaspore=samara. The diaspore has wings.
    Wind; Diaspore is blown by wind; Direct or experimental observation; (Farmer, 1997, cited in Kew SID, 19/6/2022); Diaspore=samara. The diaspore has wings or wing-like features. wind dispersed (Cronk & Fuller 1995). Seeds are dispersed in fur and on hooves of deer (Albert et al. 2015); dispersal by wind, usu. over short distances only, though flights of 4 km have been recorded. Rate of fall about 0.9 m/s. Maximum distance of dispersal in 'tolerably strong breeze' from height of 15 m is 36-85 m...seed in bird droppings (Jones 1945).",NA,NA,2022-06-02T00:00:00Z,45030,2022-06-19T00:00:00Z,3,1,2
