searchSpecies,lat_max,lat_min,lat_range,n,dd
Acacia baileyana,-35.436672,-46.638744,11.202072000000001,165,2.028911937
Acacia dealbata,-35.2147841,-46.560007,11.345222899999996,313,2.263063615
Acacia longifolia,-34.655294,-45.880857,11.225563000000001,1027,3.161329355
Acacia mearnsii,-34.903304,-46.287479,11.384174999999999,181,3.156296395
Acacia melanoxylon,-34.4369,-46.895804,12.458903999999997,360,3.350102744
Acacia paradoxa,-34.428131,-43.662611,9.234479999999998,91,1.858293549
Acacia verticillata,-34.7406649,-43.632,8.8913351,127,2.119295908
Acanthus mollis,-35.098003,-46.401043,11.303040000000003,975,1.744099278
Acer negundo,-36.606064,-46.452565,9.846500999999996,239,2.233749677
Acer pseudoplatanus,-35.217281,-47.008479,11.791198000000001,2012,3.338711596
Actinidia chinensis,-35.211805,-44.190085,8.978280000000005,356,2.033152997
Agapanthus praecox,-34.428685,-46.903403,12.474717999999996,1174,0.941876389
Agave americana,-34.903537,-45.897521,10.993983999999998,99,0.793939028
Ageratina adenophora,-34.43637,-41.105858,6.669488000000001,307,1.614080777
Ageratina riparia,-34.944428,-41.320489,6.376061,274,1.141195963
Ageratum houstonianum,-35.177143,-43.641972,8.464829000000002,30,1.357822144
Agrostis capillaris,-34.465467,-46.9374,12.471933,2099,3.205694903
Ailanthus altissima,-36.795217,-45.857004,9.061787000000002,191,2.159905264
Allium triquetrum,-34.823809,-46.902905,12.079096,1161,0.831389296
Alnus glutinosa,-36.483611,-46.897879,10.414268,298,3.596518897
Alocasia brisbanensis,-35.020652,-43.63,8.609348000000004,235,2.274794727
Amphilophium crucigerum,-35.117871,-40.386538,5.268667000000001,17,1.484175571
Angelica pachycarpa,-35.116667,-46.899106,11.782439000000004,279,0.366984292
Araujia sericifera,-34.974508,-43.579178,8.604669999999999,1476,2.462286616
Archontophoenix cunninghamiana,-35.192399,-39.085827,3.893428,251,2.746486314
Arctium minus,-36.916667,-46.659253,9.742586000000003,376,2.153342869
Aristea ecklonii,-34.429978,-43.53434,9.104362000000002,493,-0.359560879
Arum italicum,-35.12119,-46.406292,11.285102000000002,383,1.850703961
Asparagus aethiopicus,-34.816667,-44.411748,9.595081,165,1.709719943
Asparagus asparagoides,-34.933333,-46.256183,11.322850000000003,417,2.006680891
Asparagus scandens,-34.723925,-45.861243,11.137318,1709,2.06438519
Baccharis halimifolia,-37.598611,-43.92532,6.326709000000001,72,2.405657204
Banksia integrifolia,-34.737614,-45.867094,11.129480000000001,500,2.059637337
Bartlettina sordida,-34.823147,-41.28437,6.461223000000004,94,2.045351158
Bellis perennis,-34.433333,-46.901244,12.467911,1520,2.174044354
Berberis darwinii,-38.09705,-46.935899,8.838848999999996,1159,3.273738014
Berberis glaucocarpa,-35.107911,-46.428182,11.320270999999998,667,3.212353059
Betula pendula,-35.993016,-46.560876,10.567860000000003,295,3.900518085
Bidens frondosa,-34.887042,-44.051964,9.164921999999997,372,2.264008378
Bomarea multiflora,-35.116667,-46.901135,11.784467999999997,168,2.064385242
Bromus tectorum,-37.25,-46.405585,9.155585000000002,135,2.795704995
Bryonia cretica,-39.5985981,-39.687915,0.08931690000000003,3,2.84931778
Buddleja davidii,-35.217747,-46.901889,11.684141999999994,1112,2.248810225
Calluna vulgaris,-34.877778,-46.896799,12.019021000000002,489,3.186331589
Carex demissa,-35.228382,-46.900562,11.672179999999997,185,2.16621277
Carex flacca,-34.9897,-46.902455,11.912755000000004,140,2.230815953
Carex leporina,-34.8735,-46.90777,12.03427,539,2.299175941
Carex longebrachiata,-34.733333,-41.2764,6.543067000000001,136,2.272016145
Carex lurida,-37.2422,-43.5378,6.2956,49,2.310192173
Carex scoparia,-35.873,-39.963777,4.090777000000003,24,2.408270371
Carpobrotus chilensis,-34.655444,-45.871581,11.216136999999996,257,1.770626527
Carpobrotus edulis,-34.682265,-46.383609,11.701343999999999,757,1.768127652
Casuarina glauca,-35.941054,-36.899697,0.9586430000000021,7,2.224196045
Celastrus orbiculatus,-35.220278,-43.9407,8.720422,98,3.271815251
Cenchrus alopecuroides,-35.716667,-41.464902,5.748235000000001,14,2.671743062
Cenchrus setaceus,-35.09668,-43.569401,8.472721,77,2.896165053
Centranthus ruber,-35.05,-46.418589,11.368589,1041,0.672067255
Cestrum nocturnum,-34.816667,-41.325542,6.508874999999996,192,2.883004719
Chamaecytisus prolifer,-35.116667,-46.902,11.785333000000001,152,1.880623256
Chrysojasminum humile,-36.85,-45.876573,9.026572999999999,44,3.293138549
Cirsium arvense,-35.575783,-47.054892,11.479109000000001,1247,2.270876214
Cirsium vulgare,-34.43501,-47.1156,12.680590000000002,2628,2.265507202
Clematis flammula,-35.333333,-43.6065826,8.2732496,53,1.546874944
Clematis terniflora,-35.744225,-45.932617,10.188392,42,1.559819159
Clematis vitalba,-35.25,-46.556899,11.306899000000001,4623,2.575714039
Cobaea scandens,-35.233333,-43.810261,8.576927999999995,221,1.322496057
Cornus capitata,-35.773924,-46.306389,10.532465000000002,375,2.916368801
Cortaderia jubata,-34.443325,-46.900673,12.457347999999996,323,2.73001857
Cortaderia selloana,-34.421008,-46.896962,12.475954000000002,1498,2.768985914
Cotoneaster coriaceus,-34.991364,-46.902211,11.910847000000004,443,2.91397115
Cotoneaster franchetii,-35.308,-46.898047,11.590046999999998,441,2.736871629
Cotoneaster glaucophyllus,-34.739356,-46.893962,12.154606000000001,492,2.882028553
Cotoneaster simonsii,-37.681081,-46.902,9.220919000000002,423,2.797228648
Cotyledon orbiculata,-34.995166,-45.881925,10.886759000000005,442,0.764517929
Crataegus monogyna,-35.203251,-46.900702,11.697451000000001,1462,2.784651418
Cupressus macrocarpa,-34.816123,-46.926139,12.110016000000002,725,2.4142761679999998
Cuscuta campestris,-34.992722,-45.838927,10.846204999999998,14,1.84201941
Cynodon dactylon,-34.4262,-46.384089,11.957889000000002,292,2.942765522
Cyperus eragrostis,-34.45,-47.144722,12.694721999999999,1197,2.537993413
Cytisus multiflorus,-36.816667,-43.796487,6.979819999999997,61,1.4481937010000001
Cytisus scoparius,-34.883333,-46.901782,12.018448999999997,2504,2.926588139
Dactylis glomerata,-34.438281,-46.899154,12.460873,1787,2.999516107
Datura stramonium,-35.026253,-46.603543,11.577290000000005,389,-0.482026676
Digitalis purpurea,-35.116389,-46.905756,11.789366999999999,2606,2.760389706
Dolichandra unguis-cati,-35.746389,-43.583033,7.836644,25,1.5170690550000001
Eccremocarpus scaber,-39.619127,-46.416749,6.797622000000004,94,1.630102028
Echium vulgare,-36.36725,-46.45542,10.088169999999998,1295,-0.377979135
Ehrharta erecta,-34.433333,-46.899283,12.46595,830,2.922761345
Ehrharta villosa,-39.9315329,-40.496026,0.5644931,24,0.658590275
Embothrium coccineum,-36.6465,-46.9,10.253499999999995,93,1.97608478
Epilobium hirsutum,-41.269213,-43.785826,2.5166129999999995,123,3.486256845
Eragrostis curvula,-34.878364,-45.339067,10.460703000000002,58,0.595654014
Erica cinerea,-37.3095,-45.86222,8.55272,65,2.946260353
Erica lusitanica,-35.003971,-46.898748,11.894776999999998,1078,1.078031728
Erigeron karvinskianus,-35,-46.901694,11.901693999999999,1096,1.258963365
Eucalyptus delegatensis,-36.876387,-46.0545,9.178112999999996,89,1.276431977
Euonymus europaeus,-35.216667,-46.561611,11.344943999999998,748,2.774031566
Euonymus japonicus,-35.107401,-46.561587,11.454186,443,2.852013679
Eupatorium cannabinum,-39.470458,-45.861322,6.3908640000000005,42,2.529455501
Fatsia japonica,-34.988098,-45.910608,10.922510000000003,1011,2.843212771
Festuca rubra,-36.354417,-46.98,10.625582999999999,1248,2.793578562
Ficus macrophylla,-34.946389,-41.287125,6.340736,329,3.611653362
Fraxinus excelsior,-36.596387,-46.445265,9.848878,189,3.336909922
Fuchsia boliviana,-35.217937,-41.759517,6.541580000000003,179,4.171293546
Glaucium flavum,-39.178,-45.632,6.454000000000001,274,0.769656398
Glyceria fluitans,-35.349444,-46.520488,11.171044000000002,147,2.063660164
Gunnera tinctoria,-35.116667,-46.899327,11.78266,512,2.469868128
Gymnocoronis spilanthoides,-35.845998,-43.642056,7.796057999999995,94,2.221032573
Hakea gibbosa,-34.42968,-38.083333,3.6536530000000056,65,1.246790017
Hakea salicifolia,-35.1,-46.428573,11.328572999999999,309,2.260910004
Hakea sericea,-34.397538,-41.428373,7.030835000000003,363,2.247592677
Hedera canariensis,-35.285134,-46.23471,10.949576,95,2.0928902
Hedera helix,-35.103397,-46.901886,11.798488999999996,1989,1.952731544
Hedychium gardnerianum,-34.741388,-45.846321,11.104933000000003,1278,2.143175861
Helichrysum petiolare,-34.9,-45.892542,10.992542,293,1.231432897
Helosciadium nodiflorum,-35.258861,-46.589444,11.330582999999997,492,1.857579194
Hieracium levicaule,-39.249347,-45.938775,6.6894279999999995,600,1.10222862
Holcus lanatus,-34.4457,-46.9577,12.512,2832,3.083628857
Homalanthus populifolius,-34.771572,-43.807245,9.035673000000003,275,3.202793838
Humulus lupulus,-36.898634,-46.573288,9.674653999999997,149,1.410402252
Hypericum androsaemum,-35.015411,-46.906715,11.891303999999998,1088,3.50062638
Hypericum perforatum,-34.9821,-46.401712,11.419612,694,2.5226893
Ilex aquifolium,-35.723909,-46.907739,11.18383,1092,3.117893325
